"player-name","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","footable-last-visible"
"Toloza Aguilar, Vicente J.","6","177:25","19","16","4","25","51","25","49","12","8","66.7","70","10","35","45","7","1","16","19"
"Toro Flores, Gonzalo","1","2:51","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0"
"Toro Flores, Javier","2","5:27","0","0","0","0","1","0","0","0","0","0","0","1","1","2","0","0","1","2"
"Toro Urra, Pablo A.","6","111:13","7","48","11","22.9","23","13","56.5","6","2","33.3","61","7","8","15","13","0","9","7"
"Torres Pavez, Carlos","4","44:08","4","2","1","50","2","1","50","2","2","100","7","0","11","11","4","0","5","9"
"Torres Quidel, Diego T.","4","91:02","17","0","0","0","10","1","10","8","5","62.5","7","13","15","28","0","1","6","10"
"Torres Rios, Jesus","4","34:40","0","11","2","18.2","12","8","66.7","2","1","50","23","2","2","4","5","0","4","5"
"Torres San Martin, Juan P.","3","60:55","9","6","1","16.7","18","10","55.6","3","1","33.3","24","3","3","6","2","0","2","14"
"Traverso Iglesias, Nicolas","6","224:05","19","10","1","10","58","28","48.3","4","0","0","59","11","36","47","8","6","17","22"
"Ugaz Contreras, Juan P.","7","113:37","20","11","3","27.3","15","6","40","8","3","37.5","24","1","22","23","4","1","15","10"
"Ulloa Guzman, Pablo","4","67:28","9","9","3","33.3","13","3","23.1","5","3","60","18","7","14","21","7","1","10","8"
"Unda Dumenez, Diego","1","10:31","1","0","0","0","2","1","50","0","0","0","2","0","2","2","0","0","0","0"
"Unda Soza, Benjamin","7","154:56","16","27","9","33.3","33","20","60.6","23","14","60.9","81","11","31","42","4","5","3","10"
"Unda Soza, Nicolas","1","13:55","1","2","0","0","4","1","25","0","0","0","2","3","3","6","1","0","1","1"
