T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Classes
55.1,265,-96.8,0,197,-3,173.7,14,125.8,25.3,0
55.1,267,-75.3,4.6,68,-8.8,247.6,8,105.3,2.9,1
55.1,268,-111.8,5.9,49,-21,157.5,-10,139.7,15.2,0
55.1,271,-90.4,1.1,56,-15.7,249.2,20,120.3,4.4,0
55.1,275,-93.7,5.4,70,-12.6,250.1,16,115,24.2,1
55.1,278,-107.8,0.1,65,-11.7,39.9,0,131.4,22.5,0
55.1,279,-84.9,0.8,141,-14.5,255.2,19,114.9,1.3,1
55.1,282,-93,4.7,148,-15.8,236.2,7,121.8,12.3,0
55.1,285,-106.6,3.7,9,-8.6,187,22,136.5,11.7,0
55.1,285,-110.9,4.7,224,-5.6,61.2,-15,140.6,17.8,0
55.1,287,-92.4,3.4,170,-20.5,235,18,108.5,8.3,1
55.1,288,-105.7,4.1,193,-8.4,167.1,17,132.7,29.3,0
55.1,290,-83.5,3.3,289,-13.5,249.8,10,113.3,12.1,1
55.1,292,-105.7,5.5,357,-9,176.9,0,135.4,18.5,0
55.1,294,-87.4,2.5,159,-17.5,233.4,20,109.2,12.3,1
55.1,299,-85.7,1.9,282,-17.9,232.8,31,115.4,9.5,1
55.1,301,-107.5,5.7,213,-33.3,56.6,-5,137.4,14.9,0
55.1,302,-89.8,3.7,282,-15.4,246,16,118.7,10,1
55.1,306,-87.6,1.4,144,-12.3,217.4,7,117.6,1.9,1
55.1,309,-119.1,2.3,62,-12,37.3,-12,134.7,15.9,0
55.1,320,-106,4.6,78,-19.7,54.8,-24,135.3,40.2,0
55.1,353,-92.3,3.8,77,-16.6,241.4,28,120.8,15.2,0
55.1,356,-91.7,1.3,177,-16.1,239.2,20,119.4,46,1
55.1,359,-86.7,5.9,74,-13.8,242.3,17,116.1,31,1
55.1,362,-89.6,2.3,293,-15.1,242,10,117.8,36.6,1
55.1,367,-91.4,4.4,80,-13.9,247.2,28,120.5,16.9,0
55.1,369,-98.7,5.3,294,-18,248.6,-14,128.6,12.1,0
55.1,375,-97.7,5.7,299,-13.7,256.9,16,127.1,29,0
55.1,379,-103.8,3,306,-12.2,245.7,16,131.4,55.8,0
55.1,384,-103,0.7,298,-20,233,23,132.3,41.5,0
55.1,388,-98.4,1.8,157,-8.9,246.1,18,121.9,54.4,0
55.1,393,-100,3.9,54,-13,235.4,37,129.5,40.4,0
55.1,397,-98.4,1.7,298,-18.5,251.5,25,128.2,17.1,0
55.1,402,-101.6,1.6,165,-20.7,222.5,24,128.2,69.1,0
55.1,406,-105.5,4.9,79,-16.3,240,11,124.2,52,0
55.1,411,-110.7,3.5,168,-15.1,241.2,16,104.1,4.4,1
55.1,416,-114.4,5.9,81,-14.7,258.7,22,136.8,89,0
55.1,420,-99.3,2.6,77,-13,231.4,16,126.6,64,0
55.1,477,-120.4,1.1,170,-15.8,239.6,15,105.4,7.2,1
55.1,480,-124.1,4.9,287,-18.3,247.2,11,117,19,1
55.1,483,-124.4,1.6,77,-14,240.3,25,120.8,18.1,0
55.1,485,-118.5,0.5,173,-15.1,234.6,7,114.3,5.7,1
55.1,488,-123.6,0.6,165,-13.8,266,13,131.4,18.8,0
55.1,491,-109.3,6,294,-16.1,235.6,4,127.6,56.6,0
55.1,494,-113,5.2,76,-16.1,229.6,20,130.7,70.6,0
55.1,497,-121.1,3.3,298,-16,244.9,20,131.6,54,0
55.1,500,-125.7,6.2,61,-11.7,239.8,16,122.4,18.2,0
55.1,503,-118.4,3.3,165,-14.2,222.9,14,128.4,28.2,0
55.1,507,-138.1,0.1,275,-20,236.8,29,122.9,13.1,0
55.1,509,-124.9,0.5,291,-16.6,255,12,119,11.3,1
55.1,512,-126.6,2.7,67,-16.3,239.1,22,126.3,38.7,0
55.1,516,-115.4,2.5,158,-15.4,243,30,133.4,65.1,0
55.1,518,-128.4,6.1,299,-17.2,253.5,18,128.7,39.8,0
55.1,521,-120.7,5.2,87,-14.7,265.5,9,144.4,137,0
55.1,526,-130.1,1.4,158,-18.3,245.5,59,134.7,18,0
55.1,527,-139.3,1.8,290,-12,234.5,18,129.8,39.9,0
55.1,530,-122.6,0.3,300,-15.5,235.9,13,128.1,53.2,0
55.1,534,-130.1,1.5,161,-15.4,248.8,31,131.5,33.1,0
55.1,536,-131.9,5.8,287,-17.9,255.7,20,130.9,20.7,0
55.1,540,-134.7,1.8,76,-16.3,241.4,21,118.6,17.4,1
55.1,542,-131.7,0.9,159,-17.9,235.8,8,108.5,2.2,1
55.1,545,-147.5,5,71,-13.2,242.9,6,111.4,10.7,1
55.1,549,-145.6,0.2,295,-15.4,257.4,27,134.7,33.7,0
55.1,552,-139.5,0.9,70,-17.6,233.6,27,132.9,44.3,0
55.1,555,-143.1,1.6,71,-13.7,233.9,20,125.8,45.8,0
55.1,559,-139.9,2.7,282,-16.9,219.3,33,135.9,26.6,0
55.1,560,-139.2,5.2,287,-17.1,233.5,0,135.4,66.4,0
55.1,636,-137.8,2,70,-16.6,235.9,8,116.2,12.8,1
55.1,639,-145.1,5.3,165,-18.5,251.5,0,129.4,6.9,0
55.1,645,-132.5,6,65,-21.6,234.2,48,146.3,68.6,0
55.1,646,-137.9,3.1,74,-14.6,241.9,7,116.4,25,1
55.1,856,-160,3.2,284,-10.8,254.9,4,124.7,4.9,0
55.1,860,-160,5.6,68,-14.8,248.1,19,120.4,42.2,0
55.1,863,-160,1,279,-18.5,244.2,-1,137.6,23.1,0
55.1,868,-160,1.2,155,-19.6,246.1,8,118.2,5.6,1
55.1,873,-160,5.1,300,-15.8,244.1,17,129.9,51.5,0
55.1,878,-160,3.4,293,-17.6,222.4,31,137.9,38.1,0
55.1,882,-160,1.4,146,-14.3,235.6,19,132.2,20.9,0
55.1,886,-160,1.5,295,-15.7,245.7,3,123.6,38.7,0
55.1,892,-160,4.2,166,-13.5,245.8,12,109.6,3.6,1
55.1,898,-160,0,61,-14.5,234.7,21,133.6,33.9,0
55.1,904,-160,5.8,82,-16.9,254.7,35,135.6,68.3,0
55.1,908,-160,5.1,295,-13.8,241.3,16,123.7,42.3,0
55.1,914,-160,3.3,64,-13,231.4,21,133.1,36.6,0
55.1,919,-160,4.8,67,-11.2,228.6,9,121.3,9.3,0
55.1,926,-160,4.6,294,-13.3,255.5,17,125.3,36.8,0
55.1,932,-160,4.1,71,-16.2,244.1,29,126.6,26.6,0
55.1,937,-160,4.2,76,-18.2,232.2,15,128,66.9,0
55.1,185,-58.3,5.1,71,-12.4,251.4,13,88.3,3.7,1
55.1,186,-66.6,5.5,77,-10.6,251,-1,96.5,1,1
55.1,194,-60.6,3.3,65,-8.8,233.6,55,90.6,2.1,1
55.1,194,-65.6,0.2,65,-11.5,238.2,24,95,5.2,1
55.1,197,-65.9,2.1,152,-23.5,252.1,19,95.9,0.9,1
55.1,200,-74.7,4.7,282,-25.4,233,23,104.6,7.3,1
55.1,204,-80.9,5.4,62,-12.8,229.8,32,108,15.7,1
55.1,206,-66.1,3.6,170,-16,241,22,96.1,5.3,1
55.1,209,-65.9,3.3,59,-12.7,243,20,95.2,8.9,1
55.1,213,-71.6,1.6,156,-18.1,234.8,34,101.6,1.3,1
55.1,216,-77.8,0.5,288,-15.9,232.4,22,106.3,19.6,1
55.1,221,-76.6,1.1,64,-13.4,229.7,51,96.6,8.1,1
55.1,250,-66.5,5.1,53,-15.6,220.2,34,96.5,1.1,1
55.1,250,-79.4,5.4,63,-10.2,236.5,3,108.6,17,1
55.1,254,-73.3,3.9,155,-11.2,244.5,7,103.3,4.4,1
55.1,259,-73.6,4.1,288,-16.5,238.5,28,103.3,11.6,1
55.1,261,-87.6,3.1,163,-17.3,237.9,14,109.8,29.7,1
55.1,263,-82.2,0.2,173,-18.6,238.4,3,112.1,9.5,1
55.1,268,-74,4.7,66,-8,245.6,9,98.8,38,1
55.1,273,-79.4,1.3,55,-14.5,246.9,22,100.4,21.5,1
55.1,276,-88.6,5.5,68,-11.8,248,17,93,8.8,1
55.1,280,-85.6,0.9,138,-14.6,253.4,19,114.6,36.2,1
55.1,283,-85.6,4.8,147,-15.8,236.1,7,114.5,14,1
55.1,288,-81.3,3.5,168,-20.8,234.9,19,104.1,32.2,1
55.1,291,-97.3,3.4,290,-13.5,249.3,10,117.8,58.5,1
55.1,296,-91.9,2.7,156,-17.9,232.7,20,118.2,42.7,1
55.1,301,-94,2.2,283,-18.1,232.5,31,111.4,26.2,1
55.1,303,-82.9,3.8,283,-15.5,245.6,16,112.2,36.6,1
55.1,306,-93.3,1.5,143,-12.3,217.7,7,123.2,11.6,0
55.1,355,-89.7,4.1,75,-15.5,240.1,30,111.7,60.1,1
55.1,357,-103.1,1.5,176,-16.3,239.1,20,101.2,8,1
55.1,360,-98.6,6.1,72,-12.8,241,19,102.3,13.2,1
55.1,363,-90.2,2.4,295,-15.4,241.4,10,119.4,53,1
55.1,369,-103.3,4.6,78,-13.3,245.7,29,119.1,74.9,1
55.1,368,-103,5.1,296,-18.3,247.7,-14,132,57.3,0
55.1,376,-88.4,5.9,300,-13.7,256.6,16,116.7,87.6,1
55.1,380,-113.6,3.1,307,-12.2,245.5,16,121.3,34.6,0
55.1,385,-102.4,0.9,301,-20.2,232.8,24,123.9,64.3,0
55.1,389,-108.7,2,156,-9,246,18,117.3,32.3,1
55.1,395,-102.5,4.2,54,-12.2,234.5,40,122.1,53.4,0
55.1,399,-98.1,1.9,300,-18.7,250.5,26,125.2,95.1,0
55.1,403,-114.3,1.8,163,-21.1,222.5,25,129.6,45.2,0
55.1,407,-104.5,5,77,-15.6,239.1,11,111.9,20.3,1
55.1,412,-118,3.6,166,-15.4,240.5,17,101.3,11.4,1
55.1,417,-114.2,6.1,79,-13.9,256.6,23,110.9,6.2,1
55.1,421,-125.9,2.7,75,-12.3,231.1,17,115.9,13.3,1
55.1,478,-120.9,1.3,169,-16.1,239.1,16,101.2,14,1
55.1,480,-115.8,5,287,-18.3,246.9,12,116.4,57.9,1
55.1,485,-118.1,1.8,75,-13.3,239.4,26,108.6,34.5,1
55.1,485,-114.6,0.6,172,-15.3,234.2,7,117.5,22.6,1
55.1,489,-108.3,0.7,165,-13.8,265.8,13,129.1,92.2,0
55.1,491,-116.5,6.1,295,-16.1,235.4,4,127.7,53.4,0
55.1,496,-126.1,5.4,74,-15.3,229.5,21,115.1,11.3,1
55.1,498,-119,3.5,300,-16.1,244.3,20,121.4,49.3,0
55.1,501,-121.2,0.1,60,-11.2,239,16,98.7,9,1
55.1,504,-124.1,3.4,164,-14.3,223,14,129.6,34.4,0
55.1,508,-129.1,0.4,277,-20.4,236.5,29,115.4,29.9,1
55.1,509,-121.3,0.6,293,-16.8,254.2,12,118.2,64.7,1
55.1,514,-137.8,2.9,66,-15.5,238.4,23,97,6.1,1
55.1,517,-122.3,2.8,157,-15.5,242.9,30,112.1,6.4,1
55.1,519,-119.5,0,300,-17.3,252.7,19,118.4,91.9,1
55.1,521,-132.7,5.3,85,-14.3,264.1,9,131.9,15.1,0
55.1,529,-135.5,1.9,156,-18.5,244.3,60,127.4,16.5,0
55.1,528,-135.2,2,290,-12,234.3,18,111.4,17.8,1
55.1,531,-128,0.5,302,-15.7,235.7,14,128.2,77.5,0
55.1,536,-125,1.8,160,-15.4,248.6,31,123,15.3,0
55.1,538,-127.3,6,288,-18.2,254.9,20,122.1,49.9,0
55.1,541,-125.9,2,74,-15.8,240.6,22,108,21.5,1
55.1,542,-129,0.9,157,-18.1,235.5,8,118.3,17,1
55.1,545,-127.8,5.1,70,-12.6,242.1,6,104,31.3,1
55.1,551,-135.6,0.4,295,-15.4,257.2,28,131.8,86.9,0
55.1,554,-135.7,1.2,69,-17,233.1,28,106.7,12.1,1
55.1,556,-124.8,1.8,70,-13.2,233.5,21,102.1,5.1,1
55.1,560,-134,3,283,-17.2,219.6,34,125.7,15.3,0
55.1,560,-134.6,5.2,288,-17.1,233.4,0,130.9,35.5,0
55.1,636,-130.9,2.1,69,-16,235.5,8,116.5,35,1
55.1,639,-132.9,5.3,165,-18.6,251.3,0,124.1,26.3,0
55.1,647,-146.1,0.1,64,-20.9,233.6,49,110.3,12.4,1
55.1,647,-136.9,3.1,73,-14.2,241.3,8,104.5,19.3,1
55.1,856,-160,3.2,284,-10.8,254.8,4,126.6,32.5,0
55.1,861,-160,5.8,68,-14.4,247.5,20,97.1,10.4,1
55.1,863,-160,1,279,-18.6,244.1,-1,130.3,33.5,0
55.1,868,-160,1.3,154,-19.6,246,8,110.4,28.1,1
55.1,874,-160,5.2,300,-15.8,244,17,121.4,62.3,0
55.1,879,-160,3.7,294,-17.7,222.5,31,126.8,18.8,0
55.1,883,-160,1.6,145,-14.4,235.4,20,124.2,31.1,0
55.1,887,-160,1.6,296,-15.7,245.6,3,124.9,78.5,0
55.1,893,-160,4.3,165,-13.6,245.4,12,112.1,21.1,1
55.1,899,-160,0.2,61,-14.1,234.4,22,99.5,6.7,1
55.1,906,-160,6.2,82,-16.7,253.8,36,130.1,23.9,0
55.1,909,-160,5.3,296,-13.8,241.1,16,120.1,71.3,0
55.1,916,-160,3.5,64,-12.7,231.3,21,102.2,4.2,1
55.1,920,-160,4.9,67,-10.9,228.4,9,116.4,25.6,1
55.1,927,-160,4.8,294,-13.3,255.4,17,118.8,90.7,1
55.1,934,-160,4.3,70,-15.8,243.6,30,108.1,26.7,1
55.1,938,-160,4.3,75,-17.7,232,15,120.8,23.3,0
55.2,186,-65.7,5.2,71,-12.2,250.7,13,95.7,1.5,1
55.2,186,-85.4,5.5,73,-9.6,248,-1,114.6,2.8,1
55.2,196,-84,3.8,63,-7.7,231.9,61,113.9,3.1,1
55.2,195,-82.3,0.4,62,-10,236.5,27,112,5.7,1
55.2,198,-92.9,2.3,151,-23.5,251.9,19,122,6.1,0
55.2,201,-93.5,4.9,286,-26.5,232.5,25,123.2,8.7,0
55.2,206,-78.8,5.7,60,-11.4,228.9,35,108.7,2.5,1
55.2,207,-90.2,3.8,167,-16.6,239.7,23,119.8,21,1
55.2,210,-98,3.5,58,-11.1,240.8,22,118.2,33.1,1
55.2,215,-84.9,1.9,152,-18.6,233.7,36,114.9,1.6,1
55.2,217,-92,0.7,289,-16,232,22,121.5,13.2,0
55.2,223,-102.2,1.5,62,-11.8,229,56,119.5,7.8,1
55.2,252,-91.8,5.4,52,-14.1,220.6,37,120.2,21.5,0
55.2,250,-81.7,5.5,61,-9.1,235.4,3,111.6,4.3,1
55.2,254,-81.2,3.9,154,-11.2,244.4,7,111.1,5.1,1
55.2,261,-91.6,4.4,291,-17,237.8,29,121.2,13.6,0
55.2,262,-89.7,3.3,162,-17.4,237.8,14,119.3,13.2,1
55.2,264,-97.3,0.2,171,-19.2,237.5,3,127.1,5.6,0
55.2,268,-88.8,4.8,64,-7.2,243.7,10,110.7,31.1,1
55.2,274,-90.1,1.5,54,-13.3,244.8,23,119.5,22.4,1
55.2,277,-95.4,5.7,66,-10.9,246,19,104.3,9.4,1
55.2,281,-95.4,1.1,135,-14.7,251.7,20,124.5,37.3,0
55.2,283,-88,4.8,146,-15.8,236.1,7,117.7,8.1,1
55.2,289,-96.7,3.7,167,-20.9,234.8,19,122.7,36,0
55.2,291,-102.5,3.5,290,-13.5,248.9,10,126,47.5,0
55.2,297,-104.9,2.9,153,-18.3,232.1,22,132.3,32.5,0
55.2,302,-110.6,2.5,284,-18.2,232.2,32,129.6,30.7,0
55.2,304,-100.1,4,284,-15.6,245.2,16,127.1,58.5,0
55.2,306,-86,1.6,142,-12.3,217.9,7,116,1.6,1
55.2,357,-102.8,4.4,72,-14.5,238.9,32,124.2,66.3,0
55.2,358,-107.4,1.7,175,-16.5,239,20,128.1,52.2,0
55.2,361,-103.3,6.3,70,-12,239.9,20,115,25.3,1
55.2,364,-106.9,2.5,298,-15.6,240.8,10,133.6,79,0
55.2,370,-102,4.9,76,-12.6,244.2,31,126.9,88.3,0
55.2,367,-115.2,5,299,-18.6,246.9,-15,144.5,55.4,0
55.2,377,-100.7,6,300,-13.7,256.4,16,127.5,95.2,0
55.2,381,-115.6,3.3,307,-12.2,245.2,16,130,38.7,0
55.2,386,-105.7,1.2,303,-20.5,232.5,25,134.6,72.7,0
55.2,390,-101.7,2.2,155,-9,245.9,19,125.2,70.3,0
55.2,398,-109.7,4.6,53,-11.5,233.6,42,121.9,24.7,0
55.2,400,-118.8,2.2,302,-19,249.6,27,143.5,94.3,0
55.2,405,-122.3,2,161,-21.5,222.5,26,144.9,72.8,0
55.2,407,-113.2,5.1,75,-14.9,238.2,12,118.1,15.5,1
55.2,413,-115.5,3.8,164,-15.7,239.8,17,120.4,29.3,0
55.2,418,-121.7,0.1,77,-13.2,254.6,24,117.2,6.4,1
55.2,422,-113.6,2.9,73,-11.5,230.7,18,125.9,37.4,0
55.2,479,-123,1.4,168,-16.4,238.6,16,121.7,31.8,0
55.2,481,-125.3,5.1,288,-18.4,246.6,12,126.8,48,0
55.2,486,-129.9,2.1,74,-12.6,238.6,27,124,57,0
55.2,486,-133.8,0.7,171,-15.6,233.8,8,131.1,11.7,0
55.2,490,-123.2,0.8,164,-13.8,265.6,13,145.6,103.9,0
55.2,491,-129.8,6.1,295,-16.1,235.2,4,139.2,51.1,0
55.2,497,-127.3,5.6,72,-14.5,229.3,23,126,26.3,0
55.2,500,-130.7,3.7,302,-16.3,243.8,21,137.2,62.2,0
55.2,502,-129.4,0.3,60,-10.7,238.2,17,122.8,33.3,0
55.2,504,-127.5,3.6,163,-14.3,223.1,14,143.6,58.8,0
55.2,510,-138.6,0.7,278,-20.8,236.2,30,136.1,34.7,0
55.2,510,-133,0.8,295,-17,253.5,12,126.1,50.6,0
55.2,515,-140.8,3.2,65,-14.7,237.7,24,116.7,14.6,1
55.2,519,-144.4,3.1,157,-15.5,242.8,30,132.2,19.3,0
55.2,520,-143.4,0.2,302,-17.5,252,19,129.1,74.6,0
55.2,522,-140.8,5.3,84,-13.9,262.7,10,136.1,8.8,0
55.2,532,-136.5,2.4,155,-18.7,243,61,142.9,32.4,0
55.2,529,-129.9,2.2,291,-12,234.2,19,126.2,13,0
55.2,532,-142.7,0.6,304,-15.8,235.4,14,142.6,65.7,0
55.2,537,-138.7,2.1,160,-15.4,248.5,32,141.1,35.6,0
55.2,539,-152.1,6.2,289,-18.4,254.2,21,133.7,38.7,0
55.2,542,-147.1,2.2,73,-15.2,239.8,23,121.7,38.3,0
55.2,543,-149.9,1,156,-18.3,235.1,8,124.6,12.6,0
55.2,546,-150.6,5.1,69,-12.1,241.3,6,112.3,19.4,1
55.2,552,-142.7,0.7,295,-15.4,257,28,146.8,79.9,0
55.2,555,-130.7,1.4,68,-16.3,232.6,30,120.8,18.2,0
55.2,557,-145.3,2,69,-12.7,233,22,121,23.5,0
55.2,562,-135.8,3.3,285,-17.5,219.9,35,145,43.3,0
55.2,560,-143.3,5.2,288,-17.1,233.2,0,141.6,24.8,0
55.2,637,-143,2.1,68,-15.4,235.1,8,123.1,32.1,0
55.2,639,-160,5.3,164,-18.6,251.2,0,139.4,33.9,0
55.2,650,-143.8,0.6,64,-20.3,233,51,137.7,17.1,0
55.2,647,-160,3.2,72,-13.8,240.7,8,111.7,9.5,1
55.2,857,-160,3.2,285,-10.8,254.6,4,137.3,37.9,0
55.2,862,-160,6,67,-14.1,246.8,20,105.5,8.3,1
55.2,863,-160,1,280,-18.6,243.9,-1,143.8,35.7,0
55.2,869,-160,1.4,154,-19.6,246,9,119.8,18.8,1
55.2,874,-160,5.4,301,-15.8,243.9,17,132.7,55.4,0
55.2,881,-160,4,295,-17.8,222.6,32,142.1,29.8,0
55.2,884,-160,1.8,144,-14.4,235.1,20,136.3,30.4,0
55.2,887,-160,1.6,296,-15.7,245.5,3,136.7,58.9,0
55.2,893,-160,4.4,165,-13.7,245,12,124.4,35.4,0
55.2,900,-160,0.5,61,-13.8,234.1,22,117.7,9.1,1
55.2,908,-160,0.2,81,-16.4,253,37,139.2,53.4,0
55.2,910,-160,5.4,296,-13.8,241,16,134.5,69.8,0
55.2,917,-160,3.7,63,-12.3,231.1,22,119,8.2,1
55.2,920,-160,5,66,-10.7,228.3,9,123.5,30,0
55.2,927,-160,4.9,294,-13.3,255.3,17,128.8,78.6,0
55.2,935,-160,4.6,69,-15.5,243,31,124.2,51.8,0
55.2,939,-160,4.5,74,-17.3,231.8,16,129.9,40.4,0
55.2,187,-67.7,5.3,70,-12,250,13,97.7,3.9,1
55.2,186,-78.5,5.5,70,-8.7,245.2,-1,108.4,3.2,1
55.2,199,-73.8,4.3,61,-6.6,230.4,68,103.8,1.9,1
55.2,197,-80.4,0.7,60,-8.7,235,31,107.2,7.6,1
55.2,199,-76.6,2.5,150,-23.5,251.6,19,106.5,1,1
55.2,203,-86.7,5.1,291,-27.6,232.1,27,116.6,3,1
55.2,207,-86,6,58,-10.1,228,39,115.2,10.9,1
55.2,209,-79.5,4.1,164,-17.3,238.4,25,109.4,5.4,1
55.2,211,-72.2,3.7,56,-9.8,238.9,25,102.1,4.8,1
55.2,217,-88.3,2.3,147,-19.1,232.6,39,118.2,3.1,1
55.2,218,-87.3,0.9,290,-16.1,231.6,23,117.2,4.2,1
55.2,226,-92.2,2,60,-10.4,228.5,62,110,6.7,1
55.2,254,-87.6,5.7,51,-12.7,220.9,41,117.2,13.1,1
55.2,250,-89.1,5.5,59,-8.2,234.5,3,118,15.2,1
55.2,254,-82.6,4,153,-11.2,244.2,7,112.5,5.5,1
55.2,262,-100.4,4.7,294,-17.4,237.1,31,126.4,25.9,0
55.2,263,-89.9,3.4,161,-17.5,237.7,15,118.1,26.4,1
55.2,264,-93,0.3,168,-19.8,236.7,3,122.9,7.9,0
55.2,269,-81.6,4.9,62,-6.6,242,11,110.3,33.3,1
55.2,275,-99.4,1.7,53,-12.2,242.9,25,106.2,5.5,1
55.2,278,-82.7,5.9,64,-10.1,244.1,20,108,41.8,1
55.2,282,-96.5,1.3,131,-14.8,250,21,125.6,35.1,0
55.2,283,-85.9,4.9,145,-15.8,236.1,7,115.7,6.3,1
55.2,290,-99.7,3.9,166,-21.1,234.8,20,116.5,22.1,1
55.2,292,-94.4,3.6,291,-13.6,248.5,10,123.1,45.3,0
55.2,298,-101.6,3.1,150,-18.6,231.6,23,129.2,43.9,0
55.2,304,-104.1,2.8,285,-18.3,231.8,32,128.7,43.6,0
55.2,305,-100.7,4.2,284,-15.6,244.7,17,127.4,54.7,0
55.2,307,-102.9,1.6,141,-12.3,218.2,8,132.8,11.5,0
55.2,358,-99.4,4.7,70,-13.5,237.8,34,123.4,74.4,0
55.2,359,-101.9,1.9,174,-16.6,238.8,21,123.9,55.2,0
55.2,362,-116.1,0.2,68,-11.2,238.8,22,115.1,40.7,1
55.2,364,-102.2,2.6,300,-15.9,240.2,11,130.6,62.3,0
55.2,372,-105,5.2,74,-12,242.8,32,127.1,82.8,0
55.2,367,-104.9,4.8,301,-18.8,246.1,-15,134.8,19.7,0
55.2,377,-107.4,6.2,300,-13.7,256.1,16,130.9,79.6,0
55.2,382,-106.2,3.4,308,-12.2,245,16,129.6,82.4,0
55.2,388,-107,1.4,306,-20.7,232.3,26,133.1,88.2,0
55.2,391,-108.3,2.3,155,-9,245.8,19,126.8,50.7,0
55.2,400,-106.8,5,52,-10.8,232.7,44,123.9,43.3,0
55.2,402,-124.1,2.5,305,-19.2,248.6,28,140.7,60.4,0
55.2,406,-112.6,2.3,159,-21.9,222.5,27,138.9,96.4,0
55.2,408,-113.8,5.3,74,-14.3,237.4,12,119,20.1,1
55.2,414,-113.6,4,163,-15.9,239.2,18,114.8,23,1
55.2,420,-115.8,0.3,75,-12.5,252.8,26,119.6,14.8,1
55.2,423,-116.3,3.1,71,-10.8,230.4,19,127,33.9,0
55.2,480,-122.3,1.6,166,-16.7,238,17,117.1,26.4,1
55.2,482,-125.4,5.2,288,-18.4,246.4,12,125.7,52.8,0
55.2,488,-126.3,2.3,72,-12,237.9,29,124.1,60.2,0
55.2,486,-122.4,0.8,169,-15.9,233.5,8,128,17.6,0
55.2,490,-126.9,0.9,164,-13.8,265.4,13,140.1,43.3,0
55.2,491,-131.6,6.2,296,-16.1,235.1,4,139.6,61.2,0
55.2,498,-131.4,5.8,71,-13.8,229.1,24,127.1,23.3,0
55.2,501,-120.2,3.9,304,-16.4,243.2,22,132.7,66.3,0
55.2,503,-136,0.4,59,-10.3,237.5,18,109.2,18.6,1
55.2,505,-134.1,3.7,162,-14.4,223.2,14,139.3,30.2,0
55.2,512,-121.6,1,279,-21.1,235.9,31,132.9,50.5,0
55.2,511,-136.2,0.9,296,-17.2,252.7,13,126.7,52.8,0
55.2,516,-127.9,3.4,64,-14,237.1,25,110.5,15.6,1
55.2,521,-136.1,3.4,156,-15.5,242.7,31,122.4,5.9,0
55.2,521,-139.2,0.4,304,-17.6,251.2,20,130.7,48.1,0
55.2,522,-130.9,5.4,83,-13.6,261.3,10,133.6,14.9,0
55.2,535,-135.1,2.9,153,-18.9,241.8,63,139,27.8,0
55.2,530,-128.3,2.4,291,-12.1,234,19,121.9,7.2,0
55.2,532,-140.3,0.8,306,-15.9,235.1,15,137.9,67.6,0
55.2,539,-130.5,2.4,159,-15.5,248.4,32,129.6,12.8,0
55.2,540,-139.1,0.1,291,-18.6,253.5,21,133.4,34.6,0
55.2,543,-140.2,2.4,72,-14.7,239.1,23,122.3,44.9,0
55.2,543,-136,1.1,154,-18.5,234.7,8,124.2,16.5,0
55.2,546,-142.5,5.2,68,-11.5,240.6,6,112.8,29.2,1
55.2,554,-144.9,0.9,296,-15.4,256.8,28,144.9,51.8,0
55.2,557,-140.5,1.7,67,-15.7,232.2,31,121.4,28.3,0
55.2,559,-140.2,2.2,68,-12.3,232.6,23,120.5,25.3,0
55.2,564,-138.8,3.6,286,-17.7,220.2,36,144.3,40.8,0
55.2,560,-143.4,5.2,289,-17.2,233.1,0,143.5,36.2,0
55.2,637,-147.6,2.2,67,-14.8,234.8,9,125.5,40.3,0
55.2,639,-152,5.3,164,-18.6,251.1,0,136.7,25.5,0
55.2,652,-158.3,1,63,-19.6,232.5,53,138.7,23,0
55.2,648,-143.1,3.3,71,-13.4,240.1,8,112.9,16.1,1
55.2,857,-160,3.3,285,-10.8,254.5,4,136.6,50.8,0
55.2,863,-160,6.2,67,-13.8,246.2,21,107.1,32.2,1
55.2,863,-160,1,280,-18.7,243.8,-1,138.2,22.2,0
55.2,869,-160,1.5,154,-19.7,245.9,9,120.4,25.7,0
55.2,875,-160,5.6,301,-15.8,243.8,17,131.2,76.7,0
55.2,883,-160,4.3,296,-18,222.7,32,140.4,23.9,0
55.2,886,-160,2,143,-14.5,234.9,20,132.5,38.3,0
55.2,887,-160,1.6,296,-15.7,245.3,3,132.8,51.8,0
55.2,894,-160,4.6,164,-13.8,244.7,13,124.9,34.1,0
55.2,902,-160,0.7,60,-13.4,233.8,23,109,7.1,1
55.2,910,-160,0.5,80,-16.1,252.2,37,140.8,40.8,0
55.2,911,-160,5.6,296,-13.9,240.9,16,131.2,64.4,0
55.2,918,-160,3.9,63,-12,231,23,114.6,9.4,1
55.2,921,-160,5.1,65,-10.4,228.2,9,127.1,33.6,0
55.2,928,-160,5.1,294,-13.3,255.2,17,130.1,57.3,0
55.2,937,-160,4.9,69,-15.2,242.5,31,124.1,57.8,0
55.2,940,-160,4.6,73,-16.8,231.7,16,131.1,36.3,0
55.3,188,-62.5,5.5,69,-11.9,249.4,14,92.5,1,1
55.3,186,-79.1,5.5,67,-7.8,242.6,-1,109,4.8,1
55.3,202,-80,4.9,59,-5.8,229,76,109.3,9,1
55.3,199,-67.9,1,58,-7.5,233.6,35,97.8,2.6,1
